Client payeur,CP,Ville,Adresse 1,Agent commercial,niv. commission,Type client,Agent commercial,CA Loc 2025,CA Vte 2025,CA Loc 2024,CA Vte 2024,EVOLUTION € LOC,EVOLUTION %,EVOLUTION € VTE,EVOLUTION %,PART LOC 2025,PART VTE 2025,PART LOC 2024,PART VTE 2024
PHARMACIE DU JARRET / DR PLANTAVIN  - 6914,13004,MARSEILLE 4EME ARRONDISSE,178 BOULEVARD FRANCOISE DUPARC,35 - 001,,09 - PHARMACIE,001 - EMS,2244.23,3243.5,3585.5900000000015,4911.440000000001,-1341.3600000000015,-0.374097428875025,-1667.9400000000014,-0.33960304920756457,0.4089541577300633,0.5910458422699368,0.42198156296964945,0.5780184370303506
PHARMACIE PLACE DE ROME / DR LEVY ET COHEN  - 6927,13006,MARSEILLE 6EME ARRONDISSE,9 PLACE DE ROME,38 - 001,,09 - PHARMACIE,001 - EMS,2063.75,3656.23,591.66,305.8,1472.0900000000001,2.488067471182774,3350.43,10.956278613472858,0.36079671607243385,0.6392032839275662,0.6592605798587123,0.3407394201412876
PHARMACIE DU LAPIN BLANC / DR NIORE  - 6934,13008,MARSEILLE 8EME ARRONDISSE,26 AVENUE ANDRE ZENATTI,22 - 001,,09 - PHARMACIE,001 - EMS,1654.62,1533.87,1442.4000000000003,4331.139999999999,212.21999999999957,0.14712978369384327,-2797.2699999999995,-0.6458507459929718,0.5189352953906081,0.4810647046093919,0.24982939409790186,0.750170605902098
PHARMACIE DE LA CORSE / DR ATTIAS VALERIE  - 6576,13007,MARSEILLE 7EME ARRONDISSE,69 avenue de la corse,8 - 001,,09 - PHARMACIE,001 - EMS,1510.88,1678.3000000000002,1469.1300000000006,2977.6700000000014,41.749999999999545,0.028418179466758918,-1299.3700000000013,-0.4363713910540794,0.47375187352234743,0.5262481264776526,0.33037914905100296,0.669620850948997
PHARMACIE ROMAIN ROLLAND / DR NIEDDU  - 6940,13010,MARSEILLE 10EME ARRONDISS,179 BOULEVARD ROMAN ROLLAND,61 - 001,,09 - PHARMACIE,001 - EMS,1254.14,0.0,1904.5599999999997,0.0,-650.4199999999996,-0.3415066997101691,,,1.0,0.0,1.0,0.0
PHARMACIE DE LA LIBERATION / DR ABBOU HANNA  - 6686,13001,MARSEILLE 1ER ARRONDISSEM,65 BOULEVARD DE LA LIBERATION,9 - 001,,09 - PHARMACIE,001 - EMS,2083.33,328.39000000000004,1850.9100000000012,1899.9900000000002,232.4199999999987,0.12557066524034047,-1571.6000000000001,-0.8271622482223591,0.8638357686630289,0.13616423133697114,0.49345757018315617,0.5065424298168438
PHARMACIE DE LA BATARELLE HAUTE / DR DENIS  - 6944,13013,MARSEILLE 13EME ARRONDISS,6 RUE DE MISSIRI - BATARELLE HAUTE,25 - 001,,09 - PHARMACIE,001 - EMS,1541.28,58.13,1135.0,51.58,406.28,0.35795594713656387,6.550000000000004,0.1269872043427686,0.9636553479095415,0.036344652090458354,0.9565305331288241,0.043469466871175984
PHARMACIE ROCCA PARADIS / DR VIOLANTE  - 3203,13008,MARSEILLE 8EME ARRONDISSE,574 rue paradis,29 - 001,,09 - PHARMACIE,001 - EMS,1584.21,1000.57,2365.62,1318.0000000000002,-781.4099999999999,-0.3303193243208968,-317.4300000000002,-0.2408421851289834,0.6128993570052383,0.38710064299476166,0.6421997925953274,0.35780020740467267
PHARMACIE DE LA MARIE / DR ALDEBERT  - 3741,13013,MARSEILLE 13EME ARRONDISS,Pharmacie La Marie,26 - 001,,09 - PHARMACIE,001 - EMS,1711.8,171.9,1239.8600000000004,49.32,471.9399999999996,0.3806397496491535,122.58000000000001,2.485401459854015,0.9087434304825609,0.09125656951743909,0.9617431235358911,0.03825687646410896
PHARMACIE CAMILLE PELLETAN / DR KHERBACHE  - 8326,13003,MARSEILLE 3EME ARRONDISSE,78 AVENUE CAMILLE PELLETAN,13 - 001,,09 - PHARMACIE,001 - EMS,1346.98,1766.02,1432.3600000000001,772.1800000000001,-85.38000000000011,-0.05960791979669922,993.8399999999999,1.2870574218446473,0.4326951493735946,0.5673048506264053,0.6497319168624748,0.35026808313752533
PHARMACIE DES PALMIERS / DR MASCARAUX  - 6958,13820,ENSUES LA REDONNE,65 AVENUE FREDERIC MISTRAL,51 - 001,,09 - PHARMACIE,001 - EMS,949.75,441.24,1031.3400000000001,1906.8700000000001,-81.59000000000015,-0.07911067155351303,-1465.63,-0.7686050963096593,0.682787079705821,0.31721292029417897,0.35100962831111465,0.6489903716888854
PHARMACIE CHAVE / DR HELLER  - 6917,13005,MARSEILLE 5EME ARRONDISSE,66 A BOULEVARD CHAVE,14 - 001,,09 - PHARMACIE,001 - EMS,1058.88,2168.59,658.4,2017.3200000000006,400.48000000000013,0.6082624544349942,151.26999999999953,0.07498562449189988,0.32808360728372377,0.6719163927162762,0.24606461064685387,0.7539353893531461
PHARMACIE ALBRAND/DR ALBRAND  - 3799,13006,MARSEILLE 6EME ARRONDISSE,24 bd Baille,50 - 001,,09 - PHARMACIE,001 - EMS,732.3,3896.77,1750.2599999999989,3970.1600000000008,-1017.9599999999989,-0.5816050186829382,-73.39000000000078,-0.018485401092147614,0.15819592272313876,0.8418040772768612,0.30596704437786015,0.6940329556221397
PHARMACIE DU VALLON DES AUFFES / DR DEROYAN  - 6932,13007,MARSEILLE 7EME ARRONDISSE,14 BOULEVARD AUGUSTIN CIEUSSA,66 - 001,,09 - PHARMACIE,001 - EMS,688.55,911.58,171.04999999999998,1593.41,517.5,3.025431160479392,-681.83,-0.42790618861435537,0.4303087874110228,0.5696912125889771,0.09694184056311846,0.9030581594368816
PHARMACIE DU LYCEE / DR GAMBINI  - 8517,13001,MARSEILLE 1ER ARRONDISSEM,44 bd Camille Flammarion,36 - 001,,09 - PHARMACIE,001 - EMS,861.35,254.4,1275.1100000000006,2701.9900000000007,-413.76000000000056,-0.324489651873172,-2447.5900000000006,-0.9058471718992298,0.771991933676899,0.22800806632310106,0.32061300947926885,0.6793869905207311
PHARMACIE MENPENTI-CAPELETTE / DR ASSABAN  - 8518,13010,MARSEILLE,17 avenue de la capelette,4 - 001,,09 - PHARMACIE,001 - EMS,860.72,2397.73,855.1500000000001,879.9300000000001,5.569999999999936,0.006513477167748273,1517.8,1.7249099360176376,0.26415013273182036,0.7358498672681797,0.4928591188878899,0.5071408811121101
PHARMACIE DAVSO / DR MONFOURNY RAFFALLI  - 6924,13006,MARSEILLE 6EME ARRONDISSE,47 RUE FRANCIS DAVSO,15 - 001,,09 - PHARMACIE,001 - EMS,1149.3700000000001,474.99,1697.3900000000003,4869.7,-548.0200000000002,-0.3228603915423091,-4394.71,-0.902460110479085,0.7075832943436184,0.29241670565638156,0.2584691240716969,0.741530875928303
PHARMACIE DU CARROUSEL / DR CHAILLOU  - 6907,13001,MARSEILLE 1ER ARRONDISSEM,1 RUE PARADIS,21 - 001,,25 - PARTICULIER,001 - EMS,591.72,1888.75,434.24999999999994,1918.710000000001,157.47000000000008,0.36262521588946484,-29.960000000000946,-0.015614657764852912,0.23855156482440826,0.7614484351755917,0.1845547735618114,0.8154452264381886
